Epic,IssueKey,Title,Team,Label,Priority,SpecPath,AcceptanceCriteria,Description
E1 Platform scaffold,E1.1,Docker Compose: Postgres catalog + tenants Redis MinIO Meilisearch,Platform,chore,P0,docs/architecture/tech-stack.md,"docker compose up healthy; all services respond","Bootstrap local infra for OzoneAI"
E1 Platform scaffold,E1.2,ASP.NET Core solution skeleton Clean Architecture,Platform,feat,P0,docs/architecture/tech-stack.md,"API GET /health returns 200","Create OzoneAI.Api Domain Application Infrastructure projects"
E1 Platform scaffold,E1.3,Catalog DB EF migrations Companies table,Platform,feat,P0,docs/architecture/tech-stack.md,"dotnet ef database update applies; Companies table exists","ozone_catalog schema for multi-tenant registry"
E1 Platform scaffold,E1.4,React Vite Ant Design shell,Platform,feat,P0,docs/architecture/tech-stack.md,"Blank admin app loads at localhost","apps/ozone_web with Ant Design layout shell"
E1 Platform scaffold,E1.5,CI GitHub Actions build API + web,Platform,chore,P0,docs/architecture/tech-stack.md,"PR checks green on build","Workflow on pull_request to develop/main"
E1 Platform scaffold,E1.6,Cursor rules locked to tech-stack.md,Platform,docs,P0,docs/architecture/tech-stack.md,".cursor/rules present and reference stack","Agent coding standards for OzoneAI"
E2 Super Admin,E2.1,Super Admin auth platform users,Platform,feat,P0,docs/architecture/tech-stack.md,"Platform SuperAdmin can login to /super-admin","Catalog-scoped auth separate from tenant users"
E2 Super Admin,E2.2,Create tenant ozone_t_key DB + seed admin,Platform,feat,P0,docs/architecture/tech-stack.md,"Create tenant provisions DB migrations seed admin","Super Admin create-tenant flow"
E2 Super Admin,E2.3,Tenant list last used and active users,Platform,feat,P0,docs/architecture/tech-stack.md,"List shows LastUsedAt and ActiveUsers30d","Tenant list metrics for ops"
E2 Super Admin,E2.4,Tenant detail dashboard suspend activate,Platform,feat,P1,docs/architecture/tech-stack.md,"Suspend blocks login; activate restores","Tenant detail + lifecycle actions"
E2 Super Admin,E2.5,Nightly job active users last-used rollup,Platform,feat,P1,docs/architecture/tech-stack.md,"Hangfire job updates catalog counters","Ops metrics without heavy realtime load"
E2 Super Admin,E2.6,Impersonate tenant audited,Platform,feat,P1,docs/architecture/tech-stack.md,"Impersonation writes audit who when why","Support access into tenant Admin"
E3 Auth and tenancy,E3.1,Company-key login catalog resolve JWT,ERP Core,feat,P0,docs/requirements/v3/auth/login.md,"Login with companyKey user password returns JWT","Multi-tenant login flow"
E3 Auth and tenancy,E3.2,Tenant connection factory Write Read,ERP Core,feat,P0,docs/architecture/tech-stack.md,"WriteDb and ReadDb resolve correct company DB","Per-company connection isolation"
E3 Auth and tenancy,E3.3,Role-based menus Admin Sales Van Customer,ERP Core,feat,P0,docs/requirements/v3/settings/menu-to-user.md,"Menus filtered by role grants","RBAC for ERP UI"
E3 Auth and tenancy,E3.4,Device binding for mobile,Field,feat,P1,docs/architecture/tech-stack.md,"Device registered to one companyKey","Mobile device auth binding"
E4 ERP Core Wave 1,E4.1,Items CRUD,ERP Core,feat,P0,docs/requirements/v3/master/item-master.md,"Create edit list item with tax rates","Item master Wave 1"
E4 ERP Core Wave 1,E4.2,Customers and Suppliers,ERP Core,feat,P0,docs/requirements/v3/INDEX.md,"CRUD parties with linked ledgers","Party masters"
